Dates,AAPL,MSFT,GOOG,AMZN
2020-01-02,73.683563,156.591995,68.3685,94.900497
2020-01-03,72.967201,154.642151,68.032997,93.748497
2020-01-06,73.548622,155.041885,69.710503,95.143997
2020-01-07,73.202721,153.628235,69.667,95.343002
2020-01-08,74.380287,156.075272,70.216003,94.598503
2020-01-09,75.960197,158.025131,70.991501,95.052498
2020-01-10,76.131905,157.293945,71.486504,94.157997
2020-01-13,77.758423,159.185287,71.961502,94.565002
2020-01-14,76.708427,158.064148,71.543999,93.472
2020-01-15,76.3797,159.087799,71.959999,93.100998
2020-01-16,77.336464,162.002823,72.584999,93.897003
2020-01-17,78.192657,162.9095,74.019501,93.236
2020-01-21,77.66275,162.324539,74.220001,94.599998
2020-01-22,77.93998,161.544586,74.297501,94.373001
2020-01-23,78.315315,162.539032,74.332497,94.228996
2020-01-24,78.089607,160.901169,73.335503,93.082001
2020-01-27,75.793373,158.210388,71.695,91.417
2020-01-28,77.9375,161.310669,72.627998,92.662498
2020-01-29,79.568924,163.825897,72.931503,92.900002
2020-01-30,79.453621,168.447083,72.792,93.533997
2020-01-31,75.930748,165.961014,71.711502,100.435997
2020-02-03,75.722237,170.006927,74.296997,100.209999
2020-02-04,78.222092,175.603012,72.3535,102.483498
2020-02-05,78.859932,175.388504,72.411499,101.9935
2020-02-06,79.782379,179.024963,73.811501,102.511497
2020-02-07,78.697899,179.278427,73.961502,103.963997
2020-02-10,79.071693,183.96785,75.433998,106.695503
2020-02-11,78.594612,179.814636,75.439499,107.540001
2020-02-12,80.461067,180.077881,75.913498,108.0
2020-02-13,79.888092,179.102951,75.733002,107.4935
2020-02-14,79.907776,180.701859,76.037003,106.7435
2020-02-18,78.444618,182.534698,75.983498,107.783501
2020-02-19,79.580711,183.082138,76.334503,108.511002
2020-02-20,78.764297,180.286255,75.907501,107.654999
2020-02-21,76.981468,174.586914,74.255501,104.7985
2020-02-24,73.324799,167.05954,71.079498,100.4645
2020-02-25,70.841148,164.302734,69.422501,98.637001
2020-02-26,71.964943,166.355667,69.658997,98.9795
2020-02-27,67.260719,154.634384,65.904503,94.214996
2020-02-28,67.221382,158.378555,66.966499,94.1875
2020-03-02,73.479736,168.916916,69.455498,97.697502
2020-03-03,71.146072,160.822525,67.069504,95.449501
2020-03-04,74.446159,166.727158,69.325996,98.791496
2020-03-05,72.031342,162.543091,65.952003,96.2015
2020-03-06,71.074753,157.948441,64.920502,95.054497
2020-03-09,65.453316,147.243866,60.778,90.030502
2020-03-10,70.167366,157.313004,64.019501,94.591003
2020-03-11,67.730423,150.186371,60.7705,91.042999
2020-03-12,61.041718,135.942978,55.745499,83.830498
2020-03-13,68.355034,155.269836,60.9865,89.25
2020-03-16,59.561359,132.384598,54.216499,84.457497
2020-03-17,62.180275,143.284637,55.990002,90.391998
2020-03-18,60.658104,137.25296,54.84,91.5
2020-03-19,60.193333,139.511169,55.7645,94.046501
2020-03-20,56.371933,134.271347,53.616001,92.304497
2020-03-23,55.174351,132.932007,52.831001,95.141502
2020-03-24,60.709743,145.014969,56.723,97.004997
2020-03-25,60.375309,143.626816,55.1245,94.292
2020-03-26,63.552437,152.610809,58.087502,97.774498
2020-03-27,60.92123,146.344498,55.5355,95.004997
2020-03-30,62.659794,156.638458,57.341,98.197502
2020-03-31,62.531918,154.174957,58.140499,97.486
2020-04-01,59.241676,148.70047,55.280998,95.385002
2020-04-02,60.230221,151.779846,56.042,95.941498
2020-04-03,59.364624,150.381927,54.894001,95.329498
2020-04-06,64.543449,161.565491,59.346001,99.879501
2020-04-07,63.795876,159.825394,59.3255,100.580002
2020-04-08,65.428726,161.428619,60.514,102.150002
2020-04-09,65.900856,161.4384,60.572498,102.138
2020-04-13,67.194344,161.800079,60.877998,108.443497
2020-04-14,70.587875,169.806549,63.461498,114.166
2020-04-15,69.943596,168.027344,63.123501,115.384003
2020-04-16,70.499336,173.071655,63.1735,120.4095
2020-04-17,69.542747,174.59671,64.162498,118.75
2020-04-20,68.099266,171.136047,63.330502,119.680496
2020-04-21,65.994286,164.058319,60.817001,116.405998
2020-04-22,67.895172,169.630539,63.1605,118.1745
2020-04-23,67.63205,167.577637,63.815498,119.972504
2020-04-24,69.584564,170.637482,63.9655,120.511002
2020-04-27,69.633751,170.148682,63.793999,118.800003
2020-04-28,68.505013,166.003738,61.683498,115.704002
2020-04-29,70.755074,173.452911,67.073997,118.635498
2020-04-30,72.247742,175.193039,67.432999,123.699997
2020-05-01,71.084602,170.657028,66.030502,114.302002
2020-05-04,72.090363,174.831329,66.339996,115.7995
2020-05-05,73.172356,176.708252,67.555496,115.889999
2020-05-06,73.927299,178.448364,67.364998,117.563004
2020-05-07,74.69207,179.484619,68.627998,118.380501
2020-05-08,76.469864,180.540405,69.418503,118.980499
2020-05-11,77.673134,182.55426,70.163002,120.449997
2020-05-12,76.785469,178.419052,68.787003,117.847504
2020-05-13,75.858345,175.720917,67.466499,118.396004
2020-05-14,76.324387,176.483444,67.806503,119.442497
2020-05-15,75.873146,179.054504,68.6595,120.488998
2020-05-18,77.660828,180.765259,69.196999,121.313004
2020-05-19,77.212051,179.513947,68.674248,122.466499
2020-05-20,78.713692,182.003952,70.335999,124.897003
2020-05-21,78.126823,179.817871,70.139999,122.336998
2020-05-22,78.629837,179.896255,70.521004,121.844002
2020-05-26,78.097252,177.994507,70.850998,121.093002
2020-05-27,78.4375,178.229752,70.891998,120.519501
2020-05-28,78.472038,177.82782,70.836502,120.055
2020-05-29,78.395592,179.641403,71.445999,122.1185
2020-06-01,79.359703,179.229675,71.591003,123.552002
2020-06-02,79.727104,181.268707,71.960999,123.620499
2020-06-03,80.165993,181.709824,71.819,123.919998
2020-06-04,79.475601,179.317902,70.609001,123.029999
2020-06-05,81.739136,183.513611,71.919502,124.150002
2020-06-08,82.222412,184.650772,72.330498,126.203003
2020-06-09,84.818832,186.062424,72.807999,130.042999
2020-06-10,87.001015,192.963745,73.292503,132.372498
2020-06-11,82.824059,182.601944,70.192001,127.898003
2020-06-12,83.539124,184.042969,70.658997,127.250999
2020-06-15,84.572266,185.219345,70.9925,128.634003
2020-06-16,86.813614,189.758209,72.136002,130.763504
2020-06-17,86.692802,190.415009,72.556,132.048996
2020-06-18,86.727318,192.45401,71.797997,132.699005
2020-06-19,86.231705,191.307068,71.585999,133.750504
2020-06-22,88.487854,196.620316,72.593002,135.690994
2020-06-23,90.37661,197.93396,73.220497,138.220505
2020-06-24,88.781273,193.944092,71.598503,136.720001
2020-06-25,89.9599,196.394852,72.066498,137.729004
2020-06-26,87.195816,192.463821,67.995003,134.643494
2020-06-29,89.205383,194.532257,69.748497,134.018997
2020-06-30,89.950035,199.502411,70.680496,137.940994
2020-07-01,89.7799,200.668991,71.902,143.934998
2020-07-02,89.7799,202.198273,73.235001,144.514999
2020-07-06,92.181526,206.550827,74.785004,152.852005
2020-07-07,91.8955,204.149109,74.259003,150.005997
2020-07-08,94.035759,208.638885,74.800003,154.055496
2020-07-09,94.44014,210.099548,75.5495,159.1315
2020-07-10,94.605339,209.462372,77.086998,160.0
2020-07-13,94.168915,202.992325,75.567001,155.199997
2020-07-14,95.727264,204.247116,76.028999,154.199997
2020-07-15,96.385605,203.943222,75.681999,150.443497
2020-07-16,95.199585,199.904327,75.900002,149.994995
