Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX EH: Equity Market Neutral Index,HFRXEMN,,Equity Market Neutral,Global,USD
Date,Daily ROR,Index Value
08/23/2023,0.0666%,935.22
08/22/2023,-0.0076%,934.6
08/21/2023,0.149%,934.67
08/18/2023,0.0352%,933.28
08/17/2023,0.0886%,932.95
08/16/2023,0.0694%,932.12
08/15/2023,0.0325%,931.48
08/14/2023,0.0103%,931.17
08/11/2023,-0.0152%,931.08
08/10/2023,0.0787%,931.22
08/09/2023,-0.0578%,930.49
08/08/2023,0.1841%,931.02
08/07/2023,0.0962%,929.31
08/04/2023,-0.1154%,928.42
08/03/2023,-0.025%,929.49
08/02/2023,-0.1162%,929.73
08/01/2023,0.0987%,930.81
07/31/2023,-0.0389%,929.89
07/28/2023,-0.1923%,930.25
07/27/2023,-0.1436%,932.04
07/26/2023,-0.0635%,933.38
07/25/2023,0.0833%,933.98
07/24/2023,-0.1731%,933.2
07/21/2023,-0.0118%,934.82
07/20/2023,-0.3416%,934.93
07/19/2023,-0.2012%,938.13
07/18/2023,-0.0166%,940.02
07/17/2023,-0.0384%,940.18
07/14/2023,0.1712%,940.54
07/13/2023,0.2994%,938.93
07/12/2023,0.1311%,936.13
07/11/2023,0.0457%,934.9
07/10/2023,0.0288%,934.48
07/07/2023,-0.005%,934.21
07/06/2023,-0.0653%,934.25
07/05/2023,0.0901%,934.87
07/04/2023,-0.0332%,934.02
07/03/2023,-0.0708%,934.33
06/30/2023,-0.0086%,935
06/29/2023,0.0431%,935.08
06/28/2023,0.0984%,934.67
06/27/2023,-0.0336%,933.75
06/26/2023,-0.0656%,934.07
06/23/2023,0.0401%,934.68
06/22/2023,0.2846%,934.31
06/21/2023,-0.0356%,931.66
06/20/2023,0.1908%,931.99
06/19/2023,0.042%,930.21
06/16/2023,0.0049%,929.82
06/15/2023,0.0954%,929.78
06/14/2023,0.1995%,928.89
06/13/2023,0.0384%,927.04
06/12/2023,-0.0174%,926.68
06/09/2023,0.1477%,926.85
06/08/2023,0.0562%,925.48
06/07/2023,-0.1844%,924.96
06/06/2023,-0.028%,926.67
06/05/2023,0.0813%,926.93
06/02/2023,0.0227%,926.17
06/01/2023,0.1793%,925.96
05/31/2023,-0.0792%,924.31
05/30/2023,-0.0109%,925.04
05/29/2023,0.1445%,925.14
05/26/2023,-0.0497%,923.81
05/25/2023,0.1295%,924.27
05/24/2023,0.0655%,923.07
05/23/2023,-0.1794%,922.47
05/22/2023,0.061%,924.12
05/19/2023,-0.2439%,923.56
05/18/2023,0.2466%,925.82
05/17/2023,-0.0101%,923.54
05/16/2023,-0.0215%,923.63
05/15/2023,0.1196%,923.83
05/12/2023,-0.0377%,922.73
05/11/2023,0.108%,923.08
05/10/2023,0.1201%,922.08
05/09/2023,0.1013%,920.98
05/08/2023,0.0471%,920.04
05/05/2023,-0.0365%,919.61
05/04/2023,0.0073%,919.95
05/03/2023,-0.1706%,919.88
05/02/2023,-0.127%,921.45
04/28/2023,-0.0436%,922.62
04/27/2023,-0.0356%,923.03
04/26/2023,0.079%,923.36
04/25/2023,0.0639%,922.63
04/24/2023,-0.1387%,922.04
04/21/2023,0.0444%,923.32
04/20/2023,0.0152%,922.91
04/19/2023,-0.05%,922.77
04/18/2023,0.1895%,923.23
04/17/2023,-0.1756%,921.48
04/14/2023,-0.0116%,923.1
04/13/2023,0.1617%,923.21
04/12/2023,-0.0078%,921.72
04/11/2023,-0.0403%,921.79
04/06/2023,-0.0278%,922.16
04/05/2023,-0.2083%,922.42
04/04/2023,0.0004%,924.35
04/03/2023,0.0378%,924.34
03/31/2023,-0.0192%,923.99
03/30/2023,-0.0861%,924.17
03/29/2023,0.0304%,924.97
03/28/2023,-0.0114%,924.69
03/27/2023,0.1409%,924.79
03/24/2023,-0.0578%,923.49
03/23/2023,0.0113%,924.02
03/22/2023,-0.0058%,923.92
03/21/2023,0.023%,923.97
03/20/2023,0.0941%,923.76
03/17/2023,-0.0067%,922.89
03/16/2023,-0.0636%,922.95
03/15/2023,-0.0816%,923.54
03/14/2023,-0.0606%,924.3
03/13/2023,-0.1675%,924.86
03/10/2023,0.0151%,926.41
03/09/2023,0.0428%,926.27
03/08/2023,0.191%,925.87
03/07/2023,0.1015%,924.11
03/06/2023,-0.1091%,923.17
03/03/2023,0.0133%,924.18
03/02/2023,0.0774%,924.05
03/01/2023,-0.0781%,923.34
02/28/2023,0.0211%,924.06
02/27/2023,-0.0536%,923.87
02/24/2023,0.0131%,924.36
02/23/2023,0.0497%,924.24
02/22/2023,0.1719%,923.78
02/21/2023,0.0914%,922.2
02/20/2023,-0.1458%,921.35
02/17/2023,0.1409%,922.7
02/16/2023,0.0873%,921.4
02/15/2023,0.2048%,920.6
02/14/2023,-0.0145%,918.72
02/13/2023,-0.0747%,918.85
02/10/2023,0.2046%,919.54
02/09/2023,-0.2978%,917.66
02/08/2023,0.1337%,920.4
02/07/2023,-0.0523%,919.17
02/06/2023,-0.0146%,919.65
02/03/2023,0.025%,919.79
02/02/2023,-0.4067%,919.56
02/01/2023,-0.2261%,923.31
