Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Macro/CTA Index,HFRXM,,Macro,Global,USD
Date,Daily ROR,Index Value
08/16/2023,0.1525%,1259.72
08/15/2023,-0.0754%,1257.81
08/14/2023,0.1389%,1258.76
08/11/2023,0.4811%,1257.01
08/10/2023,0.2771%,1250.99
08/09/2023,0.0005%,1247.53
08/08/2023,-0.1587%,1247.53
08/07/2023,0.1729%,1249.51
08/04/2023,-0.1065%,1247.36
08/03/2023,-0.3463%,1248.68
08/02/2023,-0.2939%,1253.02
08/01/2023,-0.0032%,1256.72
07/31/2023,0.0246%,1256.76
07/28/2023,0.0558%,1256.45
07/27/2023,0.0237%,1255.75
07/26/2023,0.0168%,1255.45
07/25/2023,-0.1684%,1255.24
07/24/2023,0.143%,1257.36
07/21/2023,0.0909%,1255.56
07/20/2023,-0.1391%,1254.42
07/19/2023,-0.0366%,1256.17
07/18/2023,-0.1236%,1256.63
07/17/2023,0.2071%,1258.18
07/14/2023,0.2247%,1255.58
07/13/2023,-0.3221%,1252.77
07/12/2023,-0.4361%,1256.81
07/11/2023,-0.0119%,1262.32
07/10/2023,-0.0619%,1262.47
07/07/2023,-0.344%,1263.25
07/06/2023,-0.2822%,1267.61
07/05/2023,-0.0144%,1271.2
07/04/2023,-0.0365%,1271.38
07/03/2023,0.1369%,1271.85
06/30/2023,0.2979%,1270.11
06/29/2023,0.2818%,1266.34
06/28/2023,0.0853%,1262.78
06/27/2023,0.1545%,1261.7
06/26/2023,-0.1569%,1259.75
06/23/2023,0.0187%,1261.73
06/22/2023,-0.1487%,1261.5
06/21/2023,0.0913%,1263.38
06/20/2023,0.0067%,1262.22
06/19/2023,-0.0301%,1262.14
06/16/2023,0.0019%,1262.52
06/15/2023,-0.0571%,1262.49
06/14/2023,-0.0671%,1263.21
06/13/2023,0.2253%,1264.06
06/12/2023,0.128%,1261.22
06/09/2023,0.0233%,1259.61
06/08/2023,-0.2007%,1259.32
06/07/2023,-0.2705%,1261.85
06/06/2023,0.0565%,1265.27
06/05/2023,0.0617%,1264.56
06/02/2023,-0.0935%,1263.78
06/01/2023,0.1408%,1264.96
05/31/2023,-0.0599%,1263.18
05/30/2023,-0.0549%,1263.94
05/29/2023,0.2585%,1264.63
05/26/2023,0.0331%,1261.37
05/25/2023,0.2207%,1260.95
05/24/2023,-0.0074%,1258.18
05/23/2023,-0.0952%,1258.27
05/22/2023,0.2119%,1259.47
05/19/2023,0.0086%,1256.81
05/18/2023,-0.0466%,1256.7
05/17/2023,-0.0131%,1257.28
05/16/2023,-0.0319%,1257.45
05/15/2023,0.0163%,1257.85
05/12/2023,0.2471%,1257.65
05/11/2023,0.2739%,1254.55
05/10/2023,0.2326%,1251.12
05/09/2023,0.0305%,1248.22
05/08/2023,-0.1535%,1247.83
05/05/2023,-0.0735%,1249.75
05/04/2023,-0.1232%,1250.67
05/03/2023,0.1021%,1252.22
05/02/2023,-0.0858%,1250.94
04/28/2023,0.0429%,1252.01
04/27/2023,0.1741%,1251.47
04/26/2023,0.2131%,1249.3
04/25/2023,-0.0814%,1246.64
04/24/2023,0.1626%,1247.66
04/21/2023,0.258%,1245.63
04/20/2023,-0.0508%,1242.43
04/19/2023,0.0277%,1243.06
04/18/2023,-0.1253%,1242.72
04/17/2023,0.0557%,1244.27
04/14/2023,-0.0108%,1243.58
04/13/2023,-0.0405%,1243.72
04/12/2023,0.218%,1244.22
04/11/2023,0.4437%,1241.51
04/06/2023,0.1485%,1236.03
04/05/2023,0.0608%,1234.2
04/04/2023,0.0678%,1233.45
04/03/2023,-0.2065%,1232.61
03/31/2023,0.1033%,1235.16
03/30/2023,0.0965%,1233.89
03/29/2023,0.0518%,1232.7
03/28/2023,-0.0184%,1232.06
03/27/2023,-0.0343%,1232.28
03/24/2023,0.0808%,1232.71
03/23/2023,-0.3289%,1231.71
03/22/2023,0.1834%,1235.78
03/21/2023,0.4769%,1233.51
03/20/2023,-0.163%,1227.66
03/17/2023,-0.0503%,1229.66
03/16/2023,-0.0524%,1230.28
03/15/2023,-0.6811%,1230.93
03/14/2023,-0.0498%,1239.37
03/13/2023,-2.15%,1239.99
03/10/2023,-1.4284%,1267.23
03/09/2023,-0.0865%,1285.6
03/08/2023,-0.0055%,1286.71
03/07/2023,0.2286%,1286.78
03/06/2023,0.2151%,1283.84
03/03/2023,0.0889%,1281.09
03/02/2023,0.3726%,1279.95
03/01/2023,0.1286%,1275.2
02/28/2023,-0.0336%,1273.56
02/27/2023,0.227%,1273.99
02/24/2023,-0.0338%,1271.1
02/23/2023,0.0521%,1271.53
02/22/2023,-0.1548%,1270.87
02/21/2023,0.0687%,1272.84
02/20/2023,0%,1271.97
02/17/2023,0.0484%,1271.97
02/16/2023,0.156%,1271.35
02/15/2023,-0.1018%,1269.37
02/14/2023,0.2431%,1270.67
02/13/2023,0.2631%,1267.58
02/10/2023,-0.1002%,1264.26
02/09/2023,0.0299%,1265.52
02/08/2023,0.2048%,1265.15
02/07/2023,-0.0822%,1262.56
02/06/2023,-0.2758%,1263.6
02/03/2023,-0.2801%,1267.09
02/02/2023,-0.0325%,1270.65
02/01/2023,0.2984%,1271.06
01/31/2023,0.0277%,1267.28
01/30/2023,0.0038%,1266.93
01/27/2023,0.1537%,1266.89
01/26/2023,0.2716%,1264.94
01/25/2023,-0.1191%,1261.51
01/24/2023,0.0801%,1263.02
01/23/2023,0.2241%,1262.01
01/20/2023,0.2881%,1259.18
01/19/2023,-0.3421%,1255.57
01/18/2023,-0.2976%,1259.88
01/17/2023,-0.1163%,1263.64
01/16/2023,0.0769%,1265.11
01/13/2023,0.0705%,1264.14
01/12/2023,0.1297%,1263.25
01/11/2023,-0.0892%,1261.61
01/10/2023,0.0771%,1262.74
01/09/2023,0.0667%,1261.77
01/06/2023,0.1052%,1260.92
01/05/2023,-0.1378%,1259.6
01/04/2023,-0.3487%,1261.34
01/03/2023,-0.0599%,1265.75
01/02/2023,-0.0299%,1266.51
12/30/2022,-0.0256%,1266.89
12/29/2022,0.0745%,1267.21
12/28/2022,0.078%,1266.27
12/27/2022,0.1502%,1265.28
12/23/2022,0.1107%,1263.38
12/22/2022,-0.02%,1261.99
12/21/2022,0.2738%,1262.24
12/20/2022,0.0088%,1258.79
12/19/2022,-0.1014%,1258.68
12/16/2022,0.0087%,1259.96
12/15/2022,-0.0628%,1259.85
12/14/2022,-0.1077%,1260.64
12/13/2022,0.0887%,1262
12/12/2022,0.1478%,1260.88
12/09/2022,-0.055%,1259.02
12/08/2022,0.0769%,1259.72
12/07/2022,-0.0505%,1258.75
12/06/2022,-0.0105%,1259.38
12/05/2022,-0.2258%,1259.51
12/02/2022,-0.2761%,1262.36
12/01/2022,-0.0318%,1265.86
11/30/2022,0.0392%,1266.26
11/29/2022,-0.1345%,1265.77
11/28/2022,0.0363%,1267.47
11/25/2022,0.0831%,1267.01
11/24/2022,-0.1172%,1265.96
11/23/2022,-0.1389%,1267.45
11/22/2022,0.0591%,1269.21
11/21/2022,0.2227%,1268.46
11/18/2022,-0.0549%,1265.64
11/17/2022,0.1735%,1266.34
11/16/2022,0.0967%,1264.14
11/15/2022,-0.4206%,1262.92
11/14/2022,-0.3126%,1268.26
11/11/2022,-1.2148%,1272.23
11/10/2022,-0.3705%,1287.88
11/09/2022,-0.1178%,1292.67
11/08/2022,-0.2519%,1294.19
11/07/2022,-0.2586%,1297.46
11/04/2022,-0.646%,1300.82
11/03/2022,0.8262%,1309.28
11/02/2022,-0.1851%,1298.55
11/01/2022,0.2847%,1300.96
10/31/2022,0.2035%,1297.27
10/28/2022,0.2491%,1294.63
10/27/2022,-0.1353%,1291.42
10/26/2022,-0.7872%,1293.17
10/25/2022,-0.4923%,1303.43
10/24/2022,0.0308%,1309.88
10/21/2022,0.2123%,1309.47
10/20/2022,0.159%,1306.7
10/19/2022,0.2688%,1304.62
10/18/2022,-0.1602%,1301.13
10/17/2022,-0.2235%,1303.21
10/14/2022,0.0777%,1306.13
10/13/2022,-0.1955%,1305.12
10/12/2022,0.7501%,1307.67
10/11/2022,0.4051%,1297.94
10/10/2022,0.3371%,1292.7
10/07/2022,0.2938%,1288.36
10/06/2022,0.2373%,1284.58
10/05/2022,0.0973%,1281.54
10/04/2022,-0.8912%,1280.3
10/03/2022,-0.2748%,1291.81
09/30/2022,-0.2325%,1295.37
09/29/2022,-0.0633%,1298.39
09/28/2022,-0.2244%,1299.21
09/27/2022,0.1566%,1302.13
09/26/2022,0.6682%,1300.1
09/23/2022,0.9958%,1291.47
09/22/2022,0.2945%,1278.73
09/21/2022,0.441%,1274.98
09/20/2022,0.1781%,1269.38
09/19/2022,0.0601%,1267.13
09/16/2022,0.1435%,1266.36
09/15/2022,0.0603%,1264.55
09/14/2022,0.3849%,1263.79
09/13/2022,0.277%,1258.94
09/12/2022,-0.3925%,1255.47
09/09/2022,-0.3461%,1260.41
09/08/2022,-0.022%,1264.79
09/07/2022,0.0265%,1265.07
09/06/2022,0.3084%,1264.73
09/05/2022,0.0778%,1260.84
09/02/2022,-0.1349%,1259.86
09/01/2022,0.2982%,1261.57
08/31/2022,0.1028%,1257.82
08/30/2022,-0.1772%,1256.52
08/29/2022,0.2491%,1258.75
08/26/2022,0.0192%,1255.63
08/25/2022,-0.2883%,1255.39
08/24/2022,0.2311%,1259.01
08/23/2022,0.0795%,1256.11
08/22/2022,0.3041%,1255.11
08/19/2022,0.36%,1251.31
08/18/2022,0.2896%,1246.82
08/17/2022,0.149%,1243.22
08/16/2022,0.2187%,1241.37
08/15/2022,0.195%,1238.66
08/12/2022,0.1078%,1236.25
08/11/2022,-0.2148%,1234.92
08/10/2022,-0.1657%,1237.58
08/09/2022,0.0421%,1239.63
08/08/2022,-0.0686%,1239.11
08/05/2022,0.1271%,1239.96
08/04/2022,-0.14%,1238.38
08/03/2022,0.0885%,1240.12
08/02/2022,-0.0615%,1239.02
08/01/2022,-0.2062%,1239.79
07/29/2022,-0.3092%,1242.35
07/28/2022,-0.268%,1246.2
07/27/2022,-0.0438%,1249.55
07/26/2022,0.1966%,1250.1
07/25/2022,-0.0781%,1247.65
07/22/2022,-0.3585%,1248.62
07/21/2022,-0.0919%,1253.11
07/20/2022,0.0537%,1254.27
07/19/2022,-0.3208%,1253.59
07/18/2022,-0.4458%,1257.63
07/15/2022,-0.2222%,1263.26
07/14/2022,0.5352%,1266.07
07/13/2022,-0.1964%,1259.33
07/12/2022,-0.0532%,1261.81
07/11/2022,0.3578%,1262.48
07/08/2022,0.1793%,1257.98
07/07/2022,-0.0746%,1255.73
07/06/2022,-0.2317%,1256.67
07/05/2022,0.2576%,1259.59
07/04/2022,-0.1641%,1256.35
07/01/2022,-0.2105%,1258.42
06/30/2022,-0.1994%,1261.07
06/29/2022,0.0974%,1263.59
06/28/2022,0.1547%,1262.36
06/27/2022,-0.0162%,1260.41
06/24/2022,-0.7022%,1260.61
06/23/2022,-0.3273%,1269.53
06/22/2022,-0.0429%,1273.7
06/21/2022,-0.0825%,1274.24
