Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX ED: Merger Arbitrage Index,HFRXMA,,Merger Arbitrage,Global,USD
Date,Daily ROR,Index Value
08/16/2023,-0.363%,1937.53
08/15/2023,0.0328%,1944.59
08/14/2023,-0.1207%,1943.96
08/11/2023,0.2322%,1946.31
08/10/2023,0.0293%,1941.8
08/09/2023,0.0827%,1941.23
08/08/2023,0.1979%,1939.62
08/07/2023,0.0411%,1935.79
08/04/2023,-0.0148%,1935
08/03/2023,0.0912%,1935.28
08/02/2023,-0.0579%,1933.52
08/01/2023,0.0246%,1934.64
07/31/2023,0.1708%,1934.16
07/28/2023,0.2816%,1930.87
07/27/2023,-0.33%,1925.45
07/26/2023,0.1674%,1931.82
07/25/2023,-0.136%,1928.59
07/24/2023,-0.1645%,1931.22
07/21/2023,-0.24%,1934.4
07/20/2023,-0.2139%,1939.05
07/19/2023,0.0866%,1943.21
07/18/2023,0.0485%,1941.53
07/17/2023,0.211%,1940.59
07/14/2023,0.0681%,1936.5
07/13/2023,0.1199%,1935.18
07/12/2023,0.1118%,1932.86
07/11/2023,0.8309%,1930.71
07/10/2023,0.0469%,1914.79
07/07/2023,0.0477%,1913.9
07/06/2023,-0.0775%,1912.98
07/05/2023,-0.1381%,1914.47
07/04/2023,-0.0593%,1917.12
07/03/2023,0.0645%,1918.25
06/30/2023,0.0623%,1917.02
06/29/2023,0.0075%,1915.82
06/28/2023,-0.1028%,1915.68
06/27/2023,0.2433%,1917.65
06/26/2023,0.2671%,1913
06/23/2023,0.0642%,1907.9
06/22/2023,0.0347%,1906.67
06/21/2023,-0.0668%,1906.01
06/20/2023,-0.1003%,1907.29
06/19/2023,0.3123%,1909.2
06/16/2023,0.0598%,1903.26
06/15/2023,0.1262%,1902.12
06/14/2023,-0.1577%,1899.72
06/13/2023,0.0251%,1902.72
06/12/2023,-0.0417%,1902.25
06/09/2023,0.1236%,1903.04
06/08/2023,-0.1631%,1900.69
06/07/2023,0.1283%,1903.8
06/06/2023,0.0983%,1901.36
06/05/2023,0.2974%,1899.49
06/02/2023,0.1373%,1893.85
06/01/2023,-0.0688%,1891.26
05/31/2023,0.1946%,1892.56
05/30/2023,0.3773%,1888.88
05/29/2023,-0.2191%,1881.78
05/26/2023,-0.0046%,1885.92
05/25/2023,-0.376%,1886
05/24/2023,-0.1578%,1893.12
05/23/2023,0.1465%,1896.11
05/22/2023,-0.1822%,1893.34
05/19/2023,-0.1764%,1896.79
05/18/2023,-0.1227%,1900.15
05/17/2023,-0.0251%,1902.48
05/16/2023,-0.8956%,1902.96
05/15/2023,-0.0681%,1920.15
05/12/2023,-0.0568%,1921.46
05/11/2023,-0.1192%,1922.55
05/10/2023,-0.2056%,1924.85
05/09/2023,-0.2359%,1928.81
05/08/2023,0.0956%,1933.37
05/05/2023,0.193%,1931.53
05/04/2023,-0.6876%,1927.81
05/03/2023,-0.2793%,1941.15
05/02/2023,-0.2875%,1946.59
04/28/2023,-0.0044%,1952.2
04/27/2023,0.0546%,1952.29
04/26/2023,-0.6759%,1951.22
04/25/2023,-0.0916%,1964.5
04/24/2023,0.0205%,1966.3
04/21/2023,-0.1631%,1965.9
04/20/2023,0.0423%,1969.11
04/19/2023,0.0413%,1968.28
04/18/2023,-0.0424%,1967.47
04/17/2023,0.1125%,1968.3
04/14/2023,-0.0114%,1966.09
04/13/2023,0.1896%,1966.31
04/12/2023,0.1473%,1962.59
04/11/2023,0.3292%,1959.71
04/06/2023,-0.0044%,1953.28
04/05/2023,0.1479%,1953.36
04/04/2023,-0.1237%,1950.48
04/03/2023,-0.0069%,1952.89
03/31/2023,0.0792%,1953.03
03/30/2023,0.379%,1951.48
03/29/2023,0.3002%,1944.11
03/28/2023,0.0545%,1938.3
03/27/2023,0.5329%,1937.24
03/24/2023,0.3955%,1926.97
03/23/2023,0.2627%,1919.38
03/22/2023,-0.2545%,1914.35
03/21/2023,0.238%,1919.24
03/20/2023,-0.1132%,1914.68
03/17/2023,-0.3499%,1916.85
03/16/2023,0.1046%,1923.58
03/15/2023,-0.1394%,1921.57
03/14/2023,0.371%,1924.25
03/13/2023,-0.874%,1917.14
03/10/2023,-0.2513%,1934.04
03/09/2023,-0.2726%,1938.91
03/08/2023,0.098%,1944.21
03/07/2023,0.0933%,1942.31
03/06/2023,-0.295%,1940.5
03/03/2023,0.1827%,1946.24
03/02/2023,0.0117%,1942.69
03/01/2023,-0.2684%,1942.46
02/28/2023,-0.2713%,1947.69
02/27/2023,-0.7518%,1952.99
02/24/2023,0.0378%,1967.78
02/23/2023,0.1087%,1967.04
02/22/2023,0.2359%,1964.9
02/21/2023,0.1636%,1960.28
02/20/2023,0.0755%,1957.08
02/17/2023,0.0882%,1955.6
02/16/2023,0.1336%,1953.88
02/15/2023,0.0999%,1951.27
02/14/2023,-0.0172%,1949.32
02/13/2023,-0.0598%,1949.66
02/10/2023,0.0269%,1950.83
02/09/2023,0.0731%,1950.3
02/08/2023,-0.1115%,1948.87
02/07/2023,-0.0935%,1951.05
02/06/2023,-0.3178%,1952.88
02/03/2023,-0.0401%,1959.1
02/02/2023,0.0911%,1959.89
02/01/2023,0.0524%,1958.1
01/31/2023,0.0329%,1957.08
01/30/2023,-0.1964%,1956.44
01/27/2023,-0.1627%,1960.29
01/26/2023,-0.153%,1963.48
01/25/2023,0.0323%,1966.49
01/24/2023,-0.0514%,1965.85
01/23/2023,-0.0282%,1966.87
01/20/2023,0.017%,1967.42
01/19/2023,-0.0509%,1967.09
01/18/2023,0.0981%,1968.09
01/17/2023,-0.2061%,1966.16
01/16/2023,-0.0957%,1970.22
01/13/2023,-0.0115%,1972.11
01/12/2023,-0.0882%,1972.34
01/11/2023,0.1094%,1974.08
01/10/2023,-0.0215%,1971.92
01/09/2023,-0.038%,1972.34
01/06/2023,0.0778%,1973.09
01/05/2023,-0.0722%,1971.56
01/04/2023,0.0516%,1972.98
01/03/2023,-0.0034%,1971.96
01/02/2023,0.1075%,1972.03
12/30/2022,0.0703%,1969.91
12/29/2022,0.2529%,1968.53
12/28/2022,0.0099%,1963.57
12/27/2022,-0.0183%,1963.37
12/23/2022,0.0121%,1963.73
12/22/2022,-0.0834%,1963.49
12/21/2022,0.1201%,1965.13
12/20/2022,-0.0063%,1962.77
12/19/2022,-0.2076%,1962.9
12/16/2022,-0.0913%,1966.98
12/15/2022,-0.046%,1968.78
12/14/2022,0.0351%,1969.69
12/13/2022,-0.0581%,1969
12/12/2022,0.1371%,1970.14
12/09/2022,0.0635%,1967.44
12/08/2022,0.0727%,1966.2
12/07/2022,0.0972%,1964.77
12/06/2022,0.1643%,1962.86
12/05/2022,-0.0426%,1959.64
12/02/2022,0.1966%,1960.48
12/01/2022,0.124%,1956.63
11/30/2022,0.0258%,1954.21
11/29/2022,0.1433%,1953.7
11/28/2022,-0.1406%,1950.91
11/25/2022,-0.1665%,1953.65
11/24/2022,0.0403%,1956.91
11/23/2022,0.2341%,1956.12
11/22/2022,0.114%,1951.56
11/21/2022,-0.0458%,1949.33
11/18/2022,0.195%,1950.22
11/17/2022,0.1673%,1946.43
11/16/2022,0.0355%,1943.18
11/15/2022,0.1597%,1942.49
11/14/2022,0.2008%,1939.39
11/11/2022,0.3905%,1935.5
11/10/2022,0.2367%,1927.98
11/09/2022,-0.2386%,1923.42
11/08/2022,-0.0433%,1928.02
11/07/2022,-0.0728%,1928.86
11/04/2022,-0.1988%,1930.26
11/03/2022,-0.7247%,1934.11
11/02/2022,-0.7199%,1948.23
11/01/2022,0.0865%,1962.35
10/31/2022,0.0209%,1960.66
10/28/2022,0.0369%,1960.25
10/27/2022,0.1381%,1959.53
10/26/2022,0.4456%,1956.82
10/25/2022,0.3495%,1948.14
10/24/2022,-0.1027%,1941.36
10/21/2022,0.0981%,1943.35
10/20/2022,0.0822%,1941.45
10/19/2022,-0.075%,1939.85
10/18/2022,0.1544%,1941.31
10/17/2022,0.1765%,1938.32
10/14/2022,0.0354%,1934.9
10/13/2022,0.4545%,1934.22
10/12/2022,-0.4535%,1925.46
10/11/2022,-0.1955%,1934.24
10/10/2022,-0.3396%,1938.02
10/07/2022,-0.2149%,1944.63
10/06/2022,-0.2341%,1948.82
10/05/2022,0.3297%,1953.39
10/04/2022,0.6114%,1946.97
10/03/2022,0.6694%,1935.14
09/30/2022,-0.4467%,1922.27
09/29/2022,-0.4874%,1930.9
09/28/2022,0.7026%,1940.35
09/27/2022,-0.0259%,1926.81
09/26/2022,-0.6931%,1927.31
09/23/2022,-0.7396%,1940.77
09/22/2022,0.0293%,1955.23
09/21/2022,-0.0579%,1954.65
09/20/2022,-0.0929%,1955.79
09/19/2022,-0.106%,1957.61
09/16/2022,-0.0956%,1959.68
09/15/2022,-0.0909%,1961.56
09/14/2022,0.0331%,1963.34
