Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Market Directional Index,HFRXMD,,Composite,Global,USD
Date,Daily ROR,Index Value
08/16/2023,-0.25%,1304.41
08/15/2023,-0.0863%,1307.68
08/14/2023,0.0355%,1308.81
08/11/2023,-0.0921%,1308.35
08/10/2023,0.0231%,1309.56
08/09/2023,-0.0805%,1309.25
08/08/2023,-0.0637%,1310.31
08/07/2023,0.1764%,1311.14
08/04/2023,0.1012%,1308.83
08/03/2023,-0.1622%,1307.51
08/02/2023,-0.5102%,1309.63
08/01/2023,-0.1187%,1316.35
07/31/2023,0.0142%,1317.91
07/28/2023,0.1743%,1317.73
07/27/2023,-0.1034%,1315.43
07/26/2023,-0.0216%,1316.8
07/25/2023,0.0612%,1317.08
07/24/2023,0.0524%,1316.27
07/21/2023,0.1525%,1315.58
07/20/2023,-0.1868%,1313.58
07/19/2023,0.0744%,1316.04
07/18/2023,0.2099%,1315.06
07/17/2023,0.0609%,1312.31
07/14/2023,0.1364%,1311.51
07/13/2023,0.2586%,1309.72
07/12/2023,0.3768%,1306.34
07/11/2023,0.2573%,1301.44
07/10/2023,0.1604%,1298.1
07/07/2023,0.0587%,1296.02
07/06/2023,-0.4948%,1295.26
07/05/2023,-0.0532%,1301.7
07/04/2023,0.0274%,1302.39
07/03/2023,0.0276%,1302.04
06/30/2023,0.3979%,1301.68
06/29/2023,-0.0743%,1296.52
06/28/2023,0.0865%,1297.48
06/27/2023,0.1879%,1296.36
06/26/2023,-0.207%,1293.93
06/23/2023,-0.0095%,1296.61
06/22/2023,-0.0291%,1296.74
06/21/2023,-0.0505%,1297.11
06/20/2023,-0.1867%,1297.77
06/19/2023,-0.0147%,1300.2
06/16/2023,-0.0178%,1300.39
06/15/2023,0.1741%,1300.62
06/14/2023,0.0618%,1298.36
06/13/2023,0.078%,1297.56
06/12/2023,0.175%,1296.55
06/09/2023,-0.0168%,1294.28
06/08/2023,0.1445%,1294.5
06/07/2023,-0.0876%,1292.63
06/06/2023,0.19%,1293.76
06/05/2023,0.162%,1291.31
06/02/2023,0.2471%,1289.22
06/01/2023,0.3709%,1286.04
05/31/2023,-0.189%,1281.29
05/30/2023,0.0289%,1283.72
05/29/2023,0.0131%,1283.35
05/26/2023,0.1926%,1283.18
05/25/2023,-0.0562%,1280.71
05/24/2023,-0.2406%,1281.43
05/23/2023,-0.3499%,1284.52
05/22/2023,0.1213%,1289.03
05/19/2023,0.002%,1287.47
05/18/2023,-0.01%,1287.44
05/17/2023,0.0792%,1287.57
05/16/2023,-0.2469%,1286.55
05/15/2023,0.0772%,1289.74
05/12/2023,-0.0508%,1288.74
05/11/2023,0.0441%,1289.4
05/10/2023,0.2322%,1288.83
05/09/2023,-0.0957%,1285.84
05/08/2023,-0.0209%,1287.07
05/05/2023,0.1788%,1287.34
05/04/2023,-0.1325%,1285.05
05/03/2023,-0.071%,1286.75
05/02/2023,-0.0078%,1287.66
04/28/2023,0.2201%,1287.77
04/27/2023,0.3025%,1284.94
04/26/2023,-0.1467%,1281.06
04/25/2023,-0.1949%,1282.95
04/24/2023,0.0541%,1285.45
04/21/2023,0.0541%,1284.76
04/20/2023,-0.0147%,1284.06
04/19/2023,-0.0836%,1284.25
04/18/2023,0.0119%,1285.32
04/17/2023,0.0509%,1285.17
04/14/2023,-0.1177%,1284.52
04/13/2023,0.2472%,1286.03
04/12/2023,0.0325%,1282.86
04/11/2023,0.1662%,1282.44
04/06/2023,-0.0101%,1280.32
04/05/2023,-0.0376%,1280.44
04/04/2023,-0.0373%,1280.93
04/03/2023,0.2075%,1281.4
03/31/2023,0.4627%,1278.75
03/30/2023,0.3275%,1272.86
03/29/2023,0.41%,1268.71
03/28/2023,0.0482%,1263.53
03/27/2023,0.1834%,1262.92
03/24/2023,-0.0787%,1260.6
03/23/2023,0.1737%,1261.6
03/22/2023,-0.068%,1259.41
03/21/2023,0.6463%,1260.27
03/20/2023,-0.1741%,1252.17
03/17/2023,-0.2418%,1254.36
03/16/2023,0.1215%,1257.4
03/15/2023,-0.5236%,1255.87
03/14/2023,0.2242%,1262.48
03/13/2023,-0.3734%,1259.66
03/10/2023,-0.5192%,1264.38
03/09/2023,-0.3201%,1270.98
03/08/2023,-0.0998%,1275.06
03/07/2023,-0.2865%,1276.33
03/06/2023,0.0854%,1280
03/03/2023,0.42%,1278.91
03/02/2023,-0.135%,1273.56
03/01/2023,0.1265%,1275.28
02/28/2023,-0.1515%,1273.67
