Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Macro: Systematic Diversified CTA Index,HFRXSDV,,Systematic Diversified,Global,USD
Date,Daily ROR,Index Value
08/16/2023,0.281%,1878.06
08/15/2023,0.0632%,1872.79
08/14/2023,0.1892%,1871.61
08/11/2023,0.8087%,1868.08
08/10/2023,0.5792%,1853.09
08/09/2023,0.1967%,1842.42
08/08/2023,-0.6652%,1838.8
08/07/2023,0.0879%,1851.12
08/04/2023,-0.085%,1849.49
08/03/2023,-0.4393%,1851.06
08/02/2023,-0.521%,1859.23
08/01/2023,-0.0665%,1868.97
07/31/2023,0.1803%,1870.21
07/28/2023,0.098%,1866.85
07/27/2023,0.2171%,1865.02
07/26/2023,0.0002%,1860.98
07/25/2023,-0.1161%,1860.98
07/24/2023,0.145%,1863.14
07/21/2023,0.1136%,1860.44
07/20/2023,-0.0841%,1858.33
07/19/2023,-0.3586%,1859.89
07/18/2023,-0.2556%,1866.59
07/17/2023,0.238%,1871.37
07/14/2023,0.2702%,1866.93
07/13/2023,-0.6897%,1861.9
07/12/2023,-1.0031%,1874.83
07/11/2023,-0.0622%,1893.82
07/10/2023,-0.2431%,1895
07/07/2023,-0.3548%,1899.62
07/06/2023,-0.1664%,1906.38
07/05/2023,-0.0032%,1909.56
07/04/2023,0.01%,1909.62
07/03/2023,0.2708%,1909.43
06/30/2023,0.3785%,1904.28
06/29/2023,0.5987%,1897.09
06/28/2023,0.1841%,1885.8
06/27/2023,0.309%,1882.34
06/26/2023,-0.156%,1876.54
06/23/2023,0.0237%,1879.47
06/22/2023,-0.2035%,1879.03
06/21/2023,0.2949%,1882.86
06/20/2023,-0.0959%,1877.32
06/19/2023,-0.0202%,1879.12
06/16/2023,0.0315%,1879.5
06/15/2023,-0.1279%,1878.91
06/14/2023,0.0655%,1881.32
06/13/2023,0.5013%,1880.09
06/12/2023,0.2176%,1870.71
06/09/2023,0.2054%,1866.65
06/08/2023,-0.2957%,1862.82
06/07/2023,-0.1106%,1868.35
06/06/2023,0.0536%,1870.42
06/05/2023,0.172%,1869.41
06/02/2023,0.1771%,1866.2
06/01/2023,0.1889%,1862.9
05/31/2023,-0.3909%,1859.39
05/30/2023,-0.0887%,1866.69
05/29/2023,0.5445%,1868.35
05/26/2023,0.2258%,1858.23
05/25/2023,0.6504%,1854.04
05/24/2023,-0.1756%,1842.06
05/23/2023,-0.0813%,1845.3
05/22/2023,0.3692%,1846.8
05/19/2023,0.4074%,1840.01
05/18/2023,0.0994%,1832.54
05/17/2023,0.1162%,1830.72
05/16/2023,0.0716%,1828.6
05/15/2023,0.0817%,1827.29
05/12/2023,0.5146%,1825.8
05/11/2023,0.2074%,1816.45
05/10/2023,0.2699%,1812.69
05/09/2023,0.0783%,1807.81
05/08/2023,-0.0698%,1806.4
05/05/2023,0.0387%,1807.66
05/04/2023,-0.4013%,1806.96
05/03/2023,0.1675%,1814.24
05/02/2023,-0.1683%,1811.21
04/28/2023,0.0797%,1814.26
04/27/2023,0.4036%,1812.82
04/26/2023,0.3481%,1805.53
04/25/2023,-0.3903%,1799.27
04/24/2023,0.3273%,1806.32
04/21/2023,0.2886%,1800.42
04/20/2023,-0.0668%,1795.24
04/19/2023,0.0836%,1796.44
04/18/2023,-0.0635%,1794.94
04/17/2023,0.06%,1796.08
04/14/2023,0.0571%,1795.01
04/13/2023,0.0659%,1793.98
04/12/2023,0.2623%,1792.8
04/11/2023,0.8736%,1788.11
04/06/2023,0.1377%,1772.63
04/05/2023,-0.1506%,1770.19
04/04/2023,-0.0028%,1772.86
04/03/2023,-0.4455%,1772.91
03/31/2023,-0.0406%,1780.84
03/30/2023,0.2335%,1781.57
03/29/2023,0.2212%,1777.41
03/28/2023,-0.023%,1773.49
03/27/2023,0.311%,1773.9
03/24/2023,-0.402%,1768.4
03/23/2023,-0.6435%,1775.54
03/22/2023,0.2501%,1787.04
03/21/2023,0.8839%,1782.58
03/20/2023,-0.3263%,1766.96
03/17/2023,-0.1365%,1772.75
03/16/2023,0.0827%,1775.17
03/15/2023,-1.8249%,1773.7
03/14/2023,0.2431%,1806.68
03/13/2023,-4.1886%,1802.29
03/10/2023,-2.6906%,1881.09
03/09/2023,-0.2399%,1933.1
03/08/2023,0.1916%,1937.75
03/07/2023,0.3478%,1934.04
03/06/2023,0.1602%,1927.34
03/03/2023,-0.0283%,1924.25
03/02/2023,0.6207%,1924.8
03/01/2023,0.2652%,1912.92
02/28/2023,0.1161%,1907.87
02/27/2023,0.3773%,1905.65
02/24/2023,0.0389%,1898.49
02/23/2023,0.1082%,1897.75
02/22/2023,-0.2501%,1895.7
02/21/2023,0.3672%,1900.45
02/20/2023,-0.0044%,1893.5
02/17/2023,0.0443%,1893.58
02/16/2023,0.4652%,1892.74
02/15/2023,-0.0294%,1883.98
02/14/2023,0.4483%,1884.53
02/13/2023,0.4908%,1876.12
02/10/2023,-0.0445%,1866.96
02/09/2023,0.1867%,1867.79
02/08/2023,0.1223%,1864.31
02/07/2023,0.118%,1862.03
02/06/2023,-0.2413%,1859.84
02/03/2023,-0.4192%,1864.34
02/02/2023,-0.2939%,1872.19
02/01/2023,0.272%,1877.7
01/31/2023,0.0799%,1872.61
01/30/2023,0.0998%,1871.12
01/27/2023,0.2231%,1869.25
01/26/2023,0.3981%,1865.09
01/25/2023,-0.0625%,1857.69
01/24/2023,0.0872%,1858.86
01/23/2023,0.2003%,1857.24
01/20/2023,0.6641%,1853.52
01/19/2023,-0.5165%,1841.3
01/18/2023,-0.5356%,1850.85
01/17/2023,-0.1141%,1860.82
01/16/2023,0.0501%,1862.95
01/13/2023,-0.0848%,1862.01
01/12/2023,-0.1523%,1863.6
01/11/2023,-0.2518%,1866.44
01/10/2023,0.1355%,1871.15
01/09/2023,-0.2731%,1868.62
01/06/2023,0.0253%,1873.74
01/05/2023,0.0765%,1873.26
01/04/2023,-0.5075%,1871.83
01/03/2023,-0.4951%,1881.38
01/02/2023,-0.017%,1890.74
12/30/2022,-0.033%,1891.06
12/29/2022,0.081%,1891.68
12/28/2022,0.2926%,1890.15
12/27/2022,0.3382%,1884.64
12/23/2022,0.3002%,1878.29
12/22/2022,0.0167%,1872.67
12/21/2022,0.2511%,1872.35
12/20/2022,-0.0916%,1867.66
12/19/2022,0.1379%,1869.38
12/16/2022,-0.0112%,1866.8
12/15/2022,0.1725%,1867.01
12/14/2022,-0.1533%,1863.8
12/13/2022,-0.025%,1866.66
12/12/2022,0.22%,1867.13
12/09/2022,-0.0056%,1863.03
12/08/2022,-0.0235%,1863.13
12/07/2022,-0.1638%,1863.57
12/06/2022,0.0181%,1866.63
12/05/2022,-0.1931%,1866.29
12/02/2022,-0.6142%,1869.9
12/01/2022,-0.5585%,1881.46
11/30/2022,-0.0295%,1892.02
11/29/2022,-0.0902%,1892.58
11/28/2022,-0.1775%,1894.29
11/25/2022,0.0544%,1897.66
11/24/2022,-0.1654%,1896.63
11/23/2022,-0.3382%,1899.77
11/22/2022,0.0249%,1906.22
11/21/2022,0.2264%,1905.74
11/18/2022,-0.0197%,1901.44
11/17/2022,0.2638%,1901.81
11/16/2022,0.0537%,1896.81
11/15/2022,-0.7601%,1895.79
11/14/2022,-0.3743%,1910.31
11/11/2022,-1.7541%,1917.49
11/10/2022,-1.4344%,1951.72
11/09/2022,-0.3304%,1980.13
11/08/2022,-0.5718%,1986.69
11/07/2022,-0.2938%,1998.12
11/04/2022,-0.7942%,2004
11/03/2022,1.3415%,2020.05
11/02/2022,-0.2076%,1993.31
11/01/2022,0.3101%,1997.45
10/31/2022,0.2767%,1991.28
10/28/2022,0.2341%,1985.78
10/27/2022,-0.4354%,1981.15
10/26/2022,-1.226%,1989.81
10/25/2022,-1.1469%,2014.51
10/24/2022,-0.2412%,2037.88
10/21/2022,0.2894%,2042.81
10/20/2022,0.539%,2036.91
10/19/2022,0.6816%,2025.99
10/18/2022,-0.3492%,2012.28
10/17/2022,-0.3236%,2019.33
10/14/2022,-0.0523%,2025.88
10/13/2022,0.0328%,2026.94
10/12/2022,1.15%,2026.28
10/11/2022,0.8131%,2003.24
10/10/2022,0.467%,1987.09
10/07/2022,0.883%,1977.85
10/06/2022,0.4784%,1960.54
10/05/2022,0.3035%,1951.2
10/04/2022,-2.0417%,1945.3
10/03/2022,-0.4534%,1985.84
09/30/2022,-0.4436%,1994.89
09/29/2022,0.0613%,2003.78
09/28/2022,-0.5243%,2002.55
09/27/2022,0.4001%,2013.1
09/26/2022,1.3474%,2005.08
09/23/2022,1.7528%,1978.42
09/22/2022,0.6275%,1944.34
09/21/2022,0.6398%,1932.22
09/20/2022,0.6541%,1919.93
09/19/2022,0.1174%,1907.46
09/16/2022,0.2328%,1905.22
09/15/2022,0.2627%,1900.8
09/14/2022,0.5555%,1895.82
09/13/2022,0.8484%,1885.34
09/12/2022,-0.5747%,1869.48
09/09/2022,-0.6167%,1880.29
09/08/2022,-0.1982%,1891.96
09/07/2022,-0.1006%,1895.71
09/06/2022,0.7748%,1897.62
09/05/2022,0.025%,1883.03
09/02/2022,-0.2093%,1882.56
09/01/2022,0.7002%,1886.51
08/31/2022,0.0278%,1873.39
08/30/2022,-0.1471%,1872.87
08/29/2022,0.6093%,1875.63
08/26/2022,0.0518%,1864.27
08/25/2022,-0.3732%,1863.31
08/24/2022,0.4401%,1870.29
08/23/2022,0.3811%,1862.09
08/22/2022,0.6611%,1855.03
08/19/2022,0.7265%,1842.84
08/18/2022,0.5577%,1829.55
08/17/2022,0.4673%,1819.4
08/16/2022,0.3377%,1810.94
08/15/2022,0.2527%,1804.85
08/12/2022,0.3342%,1800.3
08/11/2022,-0.2042%,1794.3
08/10/2022,-0.5768%,1797.97
08/09/2022,0.1739%,1808.4
08/08/2022,-0.1074%,1805.26
08/05/2022,0.2766%,1807.2
08/04/2022,-0.5412%,1802.22
08/03/2022,0.4831%,1812.03
08/02/2022,-0.2396%,1803.32
08/01/2022,-0.4532%,1807.65
07/29/2022,-0.7636%,1815.88
07/28/2022,-0.8973%,1829.85
07/27/2022,-0.1827%,1846.42
07/26/2022,0.221%,1849.8
07/25/2022,-0.0313%,1845.72
07/22/2022,-1.0165%,1846.29
07/21/2022,-0.2785%,1865.26
07/20/2022,-0.1285%,1870.47
07/19/2022,-0.4255%,1872.87
07/18/2022,-0.5024%,1880.88
07/15/2022,-0.5388%,1890.37
07/14/2022,0.9625%,1900.61
07/13/2022,0.0799%,1882.49
07/12/2022,-0.2292%,1880.99
07/11/2022,0.6206%,1885.31
07/08/2022,0.3514%,1873.68
07/07/2022,0.0944%,1867.12
07/06/2022,-0.4772%,1865.36
07/05/2022,0.1599%,1874.31
07/04/2022,-0.2353%,1871.32
07/01/2022,-0.719%,1875.73
06/30/2022,-0.5446%,1889.31
06/29/2022,0.1592%,1899.66
06/28/2022,0.5768%,1896.64
06/27/2022,0.0649%,1885.76
06/24/2022,-1.5153%,1884.54
06/23/2022,-0.7007%,1913.53
06/22/2022,-0.3878%,1927.04
06/21/2022,-0.18%,1934.54
06/20/2022,-0.1192%,1938.03
06/17/2022,-0.1518%,1940.34
06/16/2022,-0.1257%,1943.29
06/15/2022,-0.5798%,1945.73
06/14/2022,0.9995%,1957.08
06/13/2022,1.5075%,1937.72
06/10/2022,1.1633%,1908.94
06/09/2022,0.7451%,1886.99
06/08/2022,0.632%,1873.03
06/07/2022,0.8423%,1861.27
06/06/2022,0.228%,1845.72
06/03/2022,0.0892%,1841.52
06/02/2022,0.3753%,1839.88
06/01/2022,0.3701%,1833
05/31/2022,0.7197%,1826.24
05/30/2022,-0.143%,1813.19
05/27/2022,-0.3381%,1815.79
05/26/2022,-0.0609%,1821.95
05/25/2022,-0.0876%,1823.06
05/24/2022,-0.1889%,1824.66
05/23/2022,-0.4745%,1828.11
05/20/2022,-0.3125%,1836.83
05/19/2022,-0.5796%,1842.59
05/18/2022,0.2341%,1853.33
05/17/2022,-0.234%,1849
05/16/2022,-0.0308%,1853.34
05/13/2022,-0.0387%,1853.91
05/12/2022,-0.3304%,1854.63
05/11/2022,-0.2059%,1860.77
05/10/2022,-0.6512%,1864.61
05/09/2022,0.3395%,1876.83
05/06/2022,0.5127%,1870.48
05/05/2022,0.6016%,1860.94
05/04/2022,0.1073%,1849.81
05/03/2022,0.1588%,1847.83
05/02/2022,0.2654%,1844.9
04/29/2022,0.1263%,1840.02
04/28/2022,0.8791%,1837.7
04/27/2022,0.4544%,1821.68
04/26/2022,-0.3934%,1813.44
04/25/2022,-0.7924%,1820.6
04/22/2022,-0.1111%,1835.15
04/21/2022,0.2997%,1837.19
04/20/2022,-0.3139%,1831.7
04/19/2022,1.573%,1837.47
04/14/2022,-0.0029%,1809.01
04/13/2022,-0.195%,1809.06
04/12/2022,0.0083%,1812.6
04/11/2022,0.8707%,1812.45
04/08/2022,0.6303%,1796.8
04/07/2022,-0.14%,1785.55
04/06/2022,0.5709%,1788.05
04/05/2022,0.8574%,1777.9
04/04/2022,0.1773%,1762.79
04/01/2022,0.6001%,1759.67
03/31/2022,-0.3101%,1749.17
03/30/2022,-0.4968%,1754.61
03/29/2022,-0.531%,1763.37
03/28/2022,0.3369%,1772.79
03/25/2022,0.7468%,1766.83
03/24/2022,0.3837%,1753.74
03/23/2022,0.2381%,1747.03
03/22/2022,0.9441%,1742.88
03/21/2022,0.842%,1726.58
03/18/2022,0.1314%,1712.17
03/17/2022,-0.4719%,1709.92
03/16/2022,-0.7837%,1718.03
03/15/2022,-0.006%,1731.6
03/14/2022,0.7701%,1731.7
03/11/2022,0.6234%,1718.47
03/10/2022,-0.2527%,1707.82
03/09/2022,0.2937%,1712.15
03/08/2022,0.8686%,1707.13
03/07/2022,1.4254%,1692.43
03/04/2022,0.3745%,1668.65
03/03/2022,1.1949%,1662.42
03/02/2022,1.438%,1642.79
03/01/2022,-0.986%,1619.5
02/28/2022,-1.1389%,1635.63
02/25/2022,-0.0054%,1654.47
02/24/2022,-0.4852%,1654.56
02/23/2022,0.5962%,1662.63
02/22/2022,0.6275%,1652.78
02/21/2022,-0.0245%,1642.47
02/18/2022,-0.192%,1642.87
02/17/2022,-0.6389%,1646.03
02/16/2022,-0.4703%,1656.62
02/15/2022,0.2761%,1664.45
02/14/2022,0.364%,1659.86
02/11/2022,0.3421%,1653.84
02/10/2022,1.0934%,1648.2
02/09/2022,-0.4711%,1630.38
02/08/2022,0.6063%,1638.09
02/07/2022,0.3559%,1628.22
02/04/2022,0.2402%,1622.45
02/03/2022,0.6664%,1618.56
02/02/2022,-0.1016%,1607.85
02/01/2022,-0.0841%,1609.48
01/31/2022,-0.2395%,1610.84
01/28/2022,0.2076%,1614.7
01/27/2022,1.1525%,1611.36
01/26/2022,0.8025%,1593
01/25/2022,0.259%,1580.32
01/24/2022,-0.6903%,1576.24
01/21/2022,-1.2283%,1587.19
01/20/2022,-0.4011%,1606.93
01/19/2022,-0.1272%,1613.4
01/18/2022,0.7651%,1615.46
01/17/2022,0.3487%,1603.19
01/14/2022,-0.1195%,1597.62
01/13/2022,-0.5547%,1599.53
01/12/2022,-0.653%,1608.45
01/11/2022,-0.0951%,1619.03
01/10/2022,-0.1349%,1620.57
01/07/2022,-0.5229%,1622.76
01/06/2022,0.0065%,1631.29
01/05/2022,0.1398%,1631.18
01/04/2022,0.673%,1628.9
01/03/2022,-0.0017%,1618.01
12/31/2021,-0.1691%,1618.04
12/30/2021,0.2973%,1620.78
12/29/2021,0.0554%,1615.98
12/28/2021,0.0515%,1615.08
12/27/2021,0.0471%,1614.25
12/24/2021,-0.095%,1613.49
12/23/2021,0.2391%,1615.03
12/22/2021,-0.0037%,1611.17
12/21/2021,0.0506%,1611.23
12/20/2021,-0.048%,1610.42
12/17/2021,0.1374%,1611.19
12/16/2021,-0.4678%,1608.98
12/15/2021,0.3142%,1616.54
12/14/2021,0.1282%,1611.48
12/13/2021,0.112%,1609.42
12/10/2021,-0.067%,1607.61
12/09/2021,0.0053%,1608.69
12/08/2021,-0.3297%,1608.61
12/07/2021,0.1785%,1613.93
12/06/2021,0.2083%,1611.05
12/03/2021,0.1073%,1607.7
12/02/2021,-0.2289%,1605.98
12/01/2021,0.1554%,1609.66
11/30/2021,-1.2956%,1607.17
11/29/2021,0.1559%,1628.26
11/26/2021,-3.1107%,1625.73
11/25/2021,0.1228%,1677.92
11/24/2021,0.2205%,1675.86
11/23/2021,0.3044%,1672.18
11/22/2021,0.2597%,1667.1
11/19/2021,-0.3113%,1662.78
11/18/2021,-0.2646%,1667.98
11/17/2021,-0.19%,1672.4
11/16/2021,0.3278%,1675.59
11/15/2021,0.3083%,1670.11
11/12/2021,0.211%,1664.98
11/11/2021,0.2113%,1661.47
11/10/2021,0.1138%,1657.97
11/09/2021,-0.4198%,1656.08
11/08/2021,0.0545%,1663.07
11/05/2021,-0.4796%,1662.16
11/04/2021,-0.4582%,1670.17
11/03/2021,-0.0237%,1677.86
11/02/2021,-0.4415%,1678.26
11/01/2021,0.2877%,1685.7
10/29/2021,0.2902%,1680.86
10/28/2021,-0.0735%,1676
10/27/2021,-0.757%,1677.23
10/26/2021,0.4063%,1690.03
10/25/2021,-0.0078%,1683.19
10/22/2021,-0.0717%,1683.32
10/21/2021,0.0559%,1684.53
10/20/2021,0.0352%,1683.59
10/19/2021,0.0813%,1682.99
10/18/2021,0.4313%,1681.63
10/15/2021,0.6039%,1674.41
10/14/2021,0.3273%,1664.35
10/13/2021,-0.3773%,1658.92
10/12/2021,0.2597%,1665.21
10/11/2021,0.1951%,1660.89
10/08/2021,0.1322%,1657.66
10/07/2021,0.2403%,1655.47
10/06/2021,-0.104%,1651.5
10/05/2021,0.487%,1653.22
10/04/2021,0.1171%,1645.21
10/01/2021,-0.1824%,1643.28
09/30/2021,-0.0714%,1646.29
09/29/2021,-0.0151%,1647.46
09/28/2021,-0.6556%,1647.71
09/27/2021,0.238%,1658.58
09/24/2021,0.07%,1654.65
09/23/2021,0.5908%,1653.49
09/22/2021,0.3271%,1643.78
09/21/2021,-0.01%,1638.42
09/20/2021,-1.2334%,1638.58
09/17/2021,-0.5534%,1659.04
09/16/2021,0.2357%,1668.28
09/15/2021,0.0776%,1664.35
09/14/2021,0.0002%,1663.06
09/13/2021,0.1065%,1663.06
09/10/2021,0.0653%,1661.29
09/09/2021,0.0216%,1660.21
09/08/2021,-0.3231%,1659.85
09/07/2021,-0.1915%,1665.23
09/06/2021,-0.0137%,1668.42
09/03/2021,-0.0872%,1668.65
09/02/2021,0.2644%,1670.11
09/01/2021,0.0703%,1665.7
08/31/2021,-0.1681%,1664.53
08/30/2021,0.5337%,1667.34
08/27/2021,0.1381%,1658.48
08/26/2021,-0.0752%,1656.2
08/25/2021,-0.2273%,1657.44
08/24/2021,0.0856%,1661.22
08/23/2021,0.2168%,1659.8
08/20/2021,0.0215%,1656.21
08/19/2021,-0.7348%,1655.85
08/18/2021,-0.1243%,1668.11
08/17/2021,-0.0858%,1670.19
08/16/2021,-0.2083%,1671.62
08/13/2021,-0.1388%,1675.11
08/12/2021,0.3245%,1677.44
08/11/2021,0.1051%,1672.01
08/10/2021,0.0214%,1670.26
08/09/2021,-0.1041%,1669.9
08/06/2021,-0.0689%,1671.64
08/05/2021,0.3593%,1672.79
