Country,Year,Carbon_Intensity_of_Electricity,CO2_Intensity,Coal_Production_Volume,Energy_Intensity,Share_of_Renewables_in_Electricity_Production,Gas_Flaring_Volume,Total_Methane_Emissions,Natural_Gas_Production_Volume,Oil_Production_Volume,CO2_emissions,Population_Size,Surface_Area,GDP,Fossil_Fuel_Consumption_per_Capita,Urban_Population,Electricity_Production,Unsafe_sanitation,Phosphorus_Surplus,Adjusted_emissions_growth_rate_for_nitrous_oxides,Adjusted_emissions_growth_rate_for_carbon_dioxide__country_specific_targets,GHG_growth_rate_adjusted_by_per_capita_emissions,Regional_Marine_Trophic_Index,Ozone_exposure,Adjusted_emissions_growth_rate_for_sulfur_dioxide,Fish_Stock_Status,Species_Protection_Index,Net_carbon_fluxes_due_to_land_cover_change,NO2_exposure,Anthropogenic_PM2_5_exposure,Red_List_Index,Adjusted_emissions_growth_rate_for_black_carbon,Bottom_Trawling_in_Global_Ocean,Bottom_Trawling_in_EEZ,Adjusted_emissions_growth_rate_for_carbon_dioxide,Relative_Crop_Yield,Adjusted_emissions_growth_rate_for_nitrous_oxide,Sustainable_Nitrogen_Management_Index,Lead_exposure,GHG_growth_rate_adjusted_by_emissions_intensity,Fish_Catch_Discarded,Unsafe_drinking_water,Household_solid_fuels,Adjusted_emissions_growth_rate_for_methane,Terrestrial_Biome_Protection,Adjusted_emissions_growth_rate_for_F-gases
Algeria,2000,1.466420104,2.437514567,0,2.418069481,-1.359951461,0.398343623,0.929415142,1.136906835,-0.787743158,-1.283380133,-1.388147474,-0.562731434,-1.589640436,-1.411373458,-1.442522328,-1.240585515,1.98342267,1.823981201,-2.324973541,0.429555133,-0.02619106,-0.1259796,1.906648971,0.62068977,-0.650382501,-1.776417069,2.063419196,-0.45674273,0.230298911,1.55298469,-0.294028707,2.0979946,2.145516969,-0.429769754,-1.682341232,-2.296140941,1.975742084,1.481558514,-0.410845803,-1.035376405,1.836501595,2.305574349,2.080194995,-3.90054637,-0.121876265
Algeria,2001,1.317597822,1.943258806,0,2.042707063,-1.176213023,-0.627070737,-1.176045819,0.231419362,-0.913749647,-1.328443768,-1.275292408,-0.562731434,-1.590483353,-1.312768881,-1.317864445,-1.176523626,1.688996295,1.953814348,-1.97189725,0.945021294,0.692944246,-0.221845576,1.491727735,0.587360045,-0.650484553,-1.227519555,1.496129152,-0.493594814,0.579207563,1.423605238,-0.799457732,1.66067277,1.7643953,-0.94927622,-1.178133216,-1.625648667,1.96197017,1.320845553,0.455642867,-1.136978111,1.61997668,1.916158894,0.968519084,-0.934353777,0.715418708
Algeria,2002,1.200895016,1.490486099,0,1.412473785,-1.303954825,-1.218206311,-1.977947198,0.644206162,-0.288219303,-1.207737554,-1.163139569,-0.562731434,-1.553306018,-1.211332628,-1.192248507,-1.122579195,1.408588818,0.231281496,-1.466368897,1.357394222,1.370143231,-0.280834704,0.223008646,0.856898799,-0.778123566,-1.227519555,1.234592534,-0.62623118,0.964596966,1.199347521,-1.267771955,1.275175293,1.423572526,-1.355872046,-1.23051096,-1.140843864,1.58957841,1.149611326,1.283517537,-1.104774776,1.386379019,1.493435978,-0.493558449,-0.934353777,1.381373428
Algeria,2003,-0.496405778,0.922529951,0,0.769782217,0.53669119,-0.516736488,-0.365603311,1.466085989,0.698301705,-1.021367207,-1.049007895,-0.562731434,-1.348510181,-1.06772147,-1.064297544,-1.020511998,1.139954095,0.231281496,-0.994795543,1.692447226,1.580564673,-0.36031383,0.151552978,1.043227532,-1.033197551,-1.088002645,1.054796774,-0.771738408,1.191869984,0.940588617,-1.370822162,0.824077935,0.995068023,-1.695095155,0.081257186,-0.262691513,1.321411171,1.113597559,1.58142631,-1.253616346,1.153071117,1.094667289,-0.834010236,0.077781155,1.739055953
Algeria,2004,-0.290516173,0.050584956,0,0.347167959,0.316377925,-0.85565058,-0.922342699,1.164709622,1.251221951,-0.97952255,-0.928757604,-0.562731434,-1.026312213,-0.952292403,-0.931542675,-0.931956453,0.910195599,0.231281496,-0.587674565,1.967362511,1.919823846,-0.414330054,0.391700152,1.156929845,-1.160734537,-1.028396829,0.897961096,-0.904728246,0.366928809,0.793958571,-1.484514066,0.249512496,0.466720542,-1.967046686,-0.288766048,0.686695462,0.953411329,0.977857449,2.031123342,-1.090706885,0.942850775,0.721946395,-1.988891032,0.324354685,1.75259437
Algeria,2005,-2.582250044,0.776349714,0,-0.115542083,2.600791264,-0.915016263,-0.507731961,-0.02951958,1.602319891,-0.828237343,-0.810571644,-0.562731434,-0.696797626,-0.800699978,-0.798925379,-0.790465864,0.664899819,-0.822341411,-0.27539364,1.194163271,1.276227578,-0.477823935,-1.312026747,1.198587384,-1.415782999,-1.028396829,0.648247827,-0.943345669,0.384400273,0.707705603,-1.42124972,0.324920083,0.247924835,-1.190991966,0.22365451,0.3138999,0.211038452,0.837490663,1.349536704,-0.968115607,0.690177774,0.41932598,-1.495126795,0.324354685,1.381809863
Algeria,2006,0.260546438,-0.014018437,0,-0.304188893,-0.171477459,-0.397418525,0.33662367,-0.633433577,1.573656359,-0.647339195,-0.683945721,-0.562731434,-0.441731832,-0.68172071,-0.659997318,-0.722193515,0.431859359,-0.952174558,0.0722728,0.661514906,0.718633818,-0.572626758,-1.584233746,1.216613662,-1.160683517,-1.028396829,0.456204383,-0.906940491,0.30892847,0.569700854,-1.09184929,0.380561976,0.246640571,-0.660195315,0.255880741,-0.338120919,-0.085301109,0.670188428,0.763427286,-0.946033016,0.458230304,0.172312842,-0.456303432,0.324354685,1.006762384
Algeria,2007,0.305074324,-0.267142777,0,-0.477110881,-0.262946488,-0.997711957,-0.645103862,-0.57550514,1.607712082,-0.552705483,-0.538696875,-0.562731434,-0.110657206,-0.489205957,-0.508535474,-0.61820747,0.203179553,-0.952174558,0.355859659,0.489692852,0.611653584,-0.73592756,-1.696793021,1.197955994,-0.778034294,-1.028396829,0.287759628,-0.872682584,2.340018603,0.448946699,-0.746100632,0.320037396,0.187808865,-0.488375403,-0.530174087,-0.537829986,-0.429227418,0.479160215,0.686800424,-0.719671287,0.239963518,-0.055188997,-0.482630068,0.324354685,0.542409293
Algeria,2008,0.05310196,-0.621277022,0,-0.5150553,0.027325913,-0.593253496,0.108783983,-0.415878018,1.398392058,-0.39176393,-0.383649667,-0.562731434,0.553779134,-0.263965058,-0.349468191,-0.457647422,-0.004119429,-0.952174558,0.516419505,-0.231959772,0.031851287,-0.925683972,-1.557642986,0.689042406,-0.267695013,0.776152875,0.136215395,-0.836622953,0.526742059,0.457571996,-0.323970216,0.479019017,0.246384637,0.233628612,-1.027999116,-0.459119217,-0.088861014,0.309440193,0.066856294,-0.575826366,0.054018865,-0.248423099,-0.366576041,0.324354685,0.112927543
Algeria,2009,-0.296849222,-0.540215865,0,-0.493686038,0.258626444,-1.445786741,-1.400074641,-1.424654435,0.482900093,-0.249491655,-0.217834796,-0.562731434,-0.06945271,-0.03489909,-0.18323,-0.549144676,-0.200373856,-0.952174558,0.699717163,-0.592786084,-0.188863568,-1.046040415,-0.365198129,0.369457943,-0.012901651,0.782047956,0.01699961,-0.756551525,0.265892015,0.190187795,0.208509237,0.472379651,0.132094596,0.590399437,0.965074708,-0.025539542,-0.232710972,0.107889971,-0.171404402,-0.344876901,-0.127960372,-0.40525629,-0.628953173,0.354107142,-0.269241828
