This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202403 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,   5.8248,  -1.7006,   0.4875,  -1.4580,   2.0534,   1.2077,   2.4192,   0.4926,  -2.6049,  -0.3344,   1.9116,   2.4336,  -0.4347,   3.7288,  -1.2629,   1.5893,   1.5278,   1.2978,   0.2727,   2.4678,   3.4539,   6.0902,   2.0266,   3.1111,   0.5623
192608,  -2.0206,  -8.0282,   1.3796,   1.4606,   8.3968,   2.3618,  -1.1849,   4.0084,   0.5038,   6.1675,  -0.9390,   2.3886,   1.9912,   4.2980,   8.1169,   1.3336,   3.8730,   2.0021,   2.1706,   5.3422,   1.0124,   4.1903,   2.0131,   5.4849,   7.7576
192609,  -4.8291,  -2.6154,  -4.3417,  -3.2729,   0.8649,  -2.6540,  -1.2618,   1.0829,  -3.5480,  -0.9401,  -0.3898,   0.1690,  -1.9328,   2.6946,  -3.6215,   1.0923,  -0.5250,  -1.7636,   1.4646,   0.8730,  -1.2906,   3.6538,   0.0950,  -0.7487,  -2.4284
192610,  -9.3729,  -3.5519,  -3.4948,   3.4413,  -2.5476,  -2.8069,  -3.2663,  -5.0745,  -8.0191,  -1.3213,  -5.1161,  -2.5583,   0.4293,  -2.1819,  -3.1373,  -3.3361,  -2.6559,  -2.1070,  -3.1051,  -5.3525,  -2.7413,  -3.0071,  -2.2437,  -4.6719,  -5.8129
192611,   5.5888,   4.1877,   2.4623,  -4.4494,   0.5362,   3.1033,  -2.3690,   3.0078,   5.1546,   2.7292,   1.9107,   4.5467,   0.4771,   4.9430,   3.7333,   3.4448,   2.3887,   3.7335,   4.9320,   1.8213,   4.2946,   2.5326,   1.5204,   3.6619,   2.5636
192612,  14.9644,  -1.3814,   0.1503,   3.4171,   0.8556,   3.1108,   4.7507,   1.2089,   2.1340,   5.1980,  -1.3186,   2.3963,  -1.0707,   3.0242,   1.5349,   3.4702,   2.6069,   1.7698,   3.0306,   0.1578,   1.4887,   3.4585,   1.9777,   6.2357,   2.4024
192701,   1.0943,  -8.1352,  -5.2057,   3.0498,   2.0166,   2.9853,  -4.2365,  -0.0640,  -0.3004,  11.0570,  -0.6319,  -0.2200,  -0.6412,   2.3361,   2.5541,   2.3758,   1.4701,  -0.5134,   0.2313,   7.3063,  -0.7756,   0.3281,  -0.4374,   0.5498,   4.2141
192702,   2.8672,  -0.4922,   8.9123,   5.3216,  10.2076,   1.5108,   8.6948,   7.8557,   4.0122,   7.5867,   6.1214,   5.5311,   4.3764,   6.5566,  13.2797,   5.2914,   4.2655,   2.3492,   6.7788,  11.4693,   3.4545,   5.0906,   3.4173,   5.1264,   6.2731
192703,   5.8224,  -0.1275,  -5.8769,  -3.9010,  -3.5735,  -2.4897,  -0.5186,  -2.0169,  -0.7107,  -0.5481,   0.5222,  -3.5673,  -0.6866,  -2.0763,  -5.9028,  -2.2017,   0.1638,  -1.3431,  -1.3877,   3.8890,   0.5845,   1.9822,  -0.1206,   0.4765,  -3.8361
192704,   7.8219,   4.7880,   4.3888,   3.3905,   6.4218,  -2.9654,  -5.6544,  -0.2997,  -0.3946,   4.4712,  -2.2887,   1.3977,  -0.5106,   2.2022,   1.7466,  -0.2637,   1.8622,  -1.2139,   0.0794,   5.7530,   2.6984,   0.8929,  -0.2989,  -0.4236,  -3.5345
192705,  10.2463,   7.2563,   2.5823,  14.6735,  10.0697,   7.2964,   2.5196,   5.4286,   8.9854,  13.4530,   3.0289,   6.6737,   6.1437,   7.1049,  12.9147,   4.8501,   6.1769,   3.7701,   7.1732,   7.7199,   5.6929,   4.6786,   5.5318,   5.4185,   4.7762
192706,  -3.4332,  10.6227,  -3.0588,  -4.2885,  -4.4903,   3.2711,   3.2146,   4.5660,  -0.9188,  -6.3846,  -0.6943,  -3.6414,  -0.7963,   0.1135,   1.7373,   1.0302,  -3.2201,  -3.6411,  -2.2869,   1.9683,  -0.0607,  -3.1371,  -2.7494,  -3.0453,  -5.3613
192707,  24.4089,   9.3017,   4.6663,   2.3241,   5.4903,   5.6673,   6.9927,   4.0996,   7.1969,   4.0386,   2.7386,   5.8245,   6.1365,   2.7735,   8.8516,   6.7430,   6.9138,   7.0503,   7.5109,   1.4324,  11.3288,   5.7944,   6.6541,   8.5879,  13.4463
192708,  11.7732,   4.9954,   0.7960,  -0.7358,   1.3677,   0.9771,  -2.6027,  -1.7730,   0.6072,   5.1792,   0.3843,   2.0226,   3.1076,  -2.6935,  -5.4249,   4.8641,   3.5513,   0.9982,  -2.6278,  -6.3110,   5.5475,   1.2272,   0.4897,   0.8744,   3.9099
